Date,MachineID,TimeStateEventID,Tool,hits applied,min life,max life,PartID
2022-03-01 01:00:00,1,235,T10,0,200000,500000,-1
2022-03-07 11:09:02+00:00,1,122,T10,550,199450,499450,93
2022-03-07 11:58:34+00:00,1,130,T10,850,198600,498600,93
2022-03-07 12:40:10+00:00,1,128,T10,1665,196935,496935,92
2022-03-07 13:59:02+00:00,1,127,T10,160,196775,496775,25
2022-03-07 14:28:13+00:00,1,129,T10,264,196511,496511,13
2022-03-09 12:49:46+00:00,1,136,T10,192,196319,496319,13
2022-03-10 13:02:38+00:00,1,152,T10,450,195869,495869,11
2022-03-14 09:55:22+00:00,1,157,T10,144,195725,495725,13
2022-03-14 10:05:59+00:00,1,161,T10,72,195653,495653,13
2022-04-01 02:36:00+00:00,1,215,T10,100,195553,495553,61
2022-04-01 09:28:00+00:00,1,218,T10,640,194913,494913,64
2022-04-01 13:06:00+00:00,1,216,T10,760,194153,494153,62
2022-04-04 09:14:00+00:00,1,203,T10,140,194013,494013,61
2022-04-04 09:51:00+00:00,1,204,T10,240,193773,493773,59
2022-04-04 12:29:00+00:00,1,206,T10,336,193437,493437,58
2022-04-04 13:50:00+00:00,1,209,T10,285,193152,493152,104
2022-04-11 09:30:00+00:00,1,212,T10,105,193047,493047,96
2022-04-13 02:50:00+00:00,1,230,T10,250,192797,492797,94
2022-04-13 09:23:00+00:00,1,220,T10,80,192717,492717,75
2022-04-13 09:30:00+00:00,1,221,T10,80,192637,492637,75
2022-04-13 10:23:00+00:00,1,224,T10,240,192397,492397,19
